stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,operator,beginDate,endDate,associatedHucs
2137:UT:SCAN,2137,UT,SCAN,Nephi,GC,Juab,160202010101,5250.0,39.64554,-111.87044,-7.0,34632,NPIU1,NRCS,2007-09-14 00:00,2100-01-01 00:00,"['160202010102', '160202010106', '160300050201', '160300050205']"
2087:MS:SCAN,2087,MS,SCAN,North Issaquena,GC,Issaquena,080302090304,110.0,32.9972,-91.05993,-6.0,31332,NORM6,NRCS,2004-02-10 00:00,2100-01-01 00:00,"['080301000200', '080302090302', '080302090303', '080302090305', '080302090404']"
2017:CO:SCAN,2017,CO,SCAN,Nunn #1,GC,Weld,101900080301,5470.0,40.85989,-104.74033,-7.0,18289,NUNC2,NRCS,1993-10-20 00:00,2100-01-01 00:00,"['101900080302', '101900080303']"
2033:MS:SCAN,2033,MS,SCAN,Onward,GC,Sharkey,080302090601,100.0,32.75358,-90.94208,-6.0,24680,OONM6,NRCS,1999-09-17 00:00,2100-01-01 00:00,"['080302071903', '080302090405', '080302090503', '080302090605']"
674:ID:SCAN,674,ID,SCAN,Orchard Range Site,GC,Ada,170501010901,3190.0,43.32268,-115.99643,-7.0,,ORRI1,NRCS,1983-10-01 00:00,2100-01-01 00:00,"['170501010905', '170501140502']"
2157:UT:SCAN,2157,UT,SCAN,Panguitch,GC,Garfield,160300010502,6530.0,37.86975,-112.43437,-7.0,40637,PNGU1,NRCS,2010-01-25 00:00,2100-01-01 00:00,"['160300010309', '160300010310', '160300010406', '160300010501', '160300010503', '160300010504', '160300010505', '160300010506']"
2153:UT:SCAN,2153,UT,SCAN,Park Valley,GC,Box Elder,160203081407,5100.0,41.77318,-113.28596,-7.0,43922,PVLU1,NRCS,2010-01-14 00:00,2100-01-01 00:00,"['160203081406', '160203081408', '160203090602', '160203090604']"
2037:SC:SCAN,2037,SC,SCAN,Pee Dee,GC,Darlington,030402010809,120.0,34.3,-79.73333,-5.0,,PDDS1,NRCS,1999-11-15 09:00,2100-01-01 00:00,"['030402010709', '030402010710', '030402010808', '030402010810']"
2181:AL:SCAN,2181,AL,SCAN,Perdido Riv Farms,GC,Escambia,031401060101,300.0,31.10923,-87.55277,-6.0,39762,PRDA1,NRCS,2010-05-08 00:00,2100-01-01 00:00,"['031401060102', '031401060301', '031403050101', '031403050102', '031502040501']"
2046:MS:SCAN,2046,MS,SCAN,Perthshire,GC,Bolivar,080302071101,150.0,33.9737,-90.90496,-6.0,27796,PERM6,NRCS,2002-04-16 00:00,2100-01-01 00:00,"['080201000200', '080201000302', '080302071102', '080302071105']"
2093:KS:SCAN,2093,KS,SCAN,Phillipsburg,GC,Phillips,102600120103,1980.0,39.78638,-99.32953,-6.0,31339,PHBK1,NRCS,2004-06-23 09:00,2100-01-01 00:00,"['102600120102', '102600120104', '102600120105']"
2144:NV:SCAN,2144,NV,SCAN,Pine Nut,GC,Clark,150100150202,6780.0,36.57285,-115.20422,-8.0,2144,NUTN2,NRCS,2007-10-27 00:00,2100-01-01 00:00,"['150100150201', '150100150204', '150100150205', '150100150208']"
2049:MD:SCAN,2049,MD,SCAN,Powder Mill,GC,UNKNOWN,020700100203,110.0,39.02621,-76.84736,-5.0,27253,PWDM2,NRCS,2001-10-30 00:00,2100-01-01 00:00,"['020600060302', '020600060401']"
2061:MO:SCAN,2061,MO,SCAN,Powell Gardens,GC,Johnson,103001040102,930.0,38.868,-94.03564,-6.0,28842,PWGM7,NRCS,2002-03-27 00:00,2100-01-01 00:00,"['102901080303', '103001010502', '103001010505', '103001040103', '103001040104']"
2016:TX:SCAN,2016,TX,SCAN,Prairie View #1,GC,Waller,120701040104,280.0,30.09168,-95.97695,-6.0,19324,PRVT2,NRCS,1993-10-01 00:00,2100-01-01 00:00,"['120401020201', '120701040104', '120701040105']"
2132:UT:SCAN,2132,UT,SCAN,Price,GC,Carbon,140600070603,5640.0,39.53288,-110.80604,-7.0,34111,PCEU1,NRCS,2007-05-16 00:00,2100-01-01 00:00,"['140600070704', '140600070802', '140600070803', '140600070804', '140600070807']"
